MUI.CreateTextH2|MUI.CreateTextH2({CURSOR})|h2 title text
app.GetCertificates|app.GetCertificates()|Get app certificates
app.GetDigest|app.GetDigest()|Get app digest
app.GetHash|app.GetHash()|Get app hash
app.GetChecksum|app.GetChecksum()|Get app checksum
app.VerifySignature|app.VerifySignature({CURSOR})|Verify app signature
app.VerifyCertificate|app.VerifyCertificate({CURSOR})|Verify certificate
app.VerifyDigest|app.VerifyDigest({CURSOR})|Verify digest
app.VerifyHash|app.VerifyHash({CURSOR})|Verify hash
app.Encrypt|app.Encrypt({CURSOR})|Encrypt data
app.Decrypt|app.Decrypt({CURSOR})|Decrypt data
app.Sign|app.Sign({CURSOR})|Sign data
app.Verify|app.Verify({CURSOR})|Verify signed data
app.Hash|app.Hash()|Hash data
app.HMAC|app.HMAC({CURSOR})|Generate HMAC
app.PBKDF2|app.PBKDF2({CURSOR})|Derive key with PBKDF2
app.GenerateKey|app.GenerateKey({CURSOR})|Generate a key
app.GenerateKeyPair|app.GenerateKeyPair({CURSOR})|Generate a key pair
app.GenerateSeed|app.GenerateSeed({CURSOR})|Generate a seed
app.GenerateMnemonic|app.GenerateMnemonic({CURSOR})|Generate a mnemonic phrase
app.GenerateUUID|app.GenerateUUID({CURSOR})|Generate a UUID
app.GenerateGUID|app.GenerateGUID({CURSOR})|Generate a GUID
app.GenerateRandom|app.GenerateRandom({CURSOR})|Generate random bytes
app.GenerateOTP|app.GenerateOTP({CURSOR})|Generate a one-time password
app.GeneratePIN|app.GeneratePIN({CURSOR})|Generate a PIN code
app.GeneratePassword|app.GeneratePassword({CURSOR})|Generate a random password
app.GenerateToken|app.GenerateToken({CURSOR})|Generate a token
app.GenerateNonce|app.GenerateNonce({CURSOR})|Generate a nonce
app.GenerateSalt|app.GenerateSalt({CURSOR})|Generate a salt
app.GenerateIV|app.GenerateIV({CURSOR})|Generate an initialization vector
app.Encode|app.Encode({CURSOR})|Encode data
app.Decode|app.Decode({CURSOR})|Decode data
app.EncodeBase64|app.EncodeBase64({CURSOR})|Encode to Base64
app.DecodeBase64|app.DecodeBase64({CURSOR})|Decode from Base64
app.EncodeBase64Url|app.EncodeBase64Url({CURSOR})|Encode to Base64 URL-safe
app.DecodeBase64Url|app.DecodeBase64Url({CURSOR})|Decode from Base64 URL-safe
app.EncodeHex|app.EncodeHex({CURSOR})|Encode to hex
app.DecodeHex|app.DecodeHex({CURSOR})|Decode from hex
app.EncodeUTF8|app.EncodeUTF8({CURSOR})|Encode to UTF-8
app.DecodeUTF8|app.DecodeUTF8({CURSOR})|Decode from UTF-8
app.Compress|app.Compress({CURSOR})|Compress data
app.Decompress|app.Decompress({CURSOR})|Decompress data
app.Gzip|app.Gzip({CURSOR})|Gzip compress
app.Gunzip|app.Gunzip({CURSOR})|Gzip decompress
app.Zip|app.Zip({CURSOR})|Zip compress
app.Unzip|app.Unzip({CURSOR})|Zip decompress
app.Bzip2|app.Bzip2({CURSOR})|Bzip2 compress
app.Bunzip2|app.Bunzip2({CURSOR})|Bzip2 decompress
app.Tar|app.Tar({CURSOR})|Tar archive
app.Untar|app.Untar({CURSOR})|Untar archive
app.SevenZip|app.SevenZip({CURSOR})|7zip compress
app.UnSevenZip|app.UnSevenZip({CURSOR})|7zip decompress
app.Rar|app.Rar({CURSOR})|Rar archive
app.Unrar|app.Unrar({CURSOR})|Unrar archive
app.LZMA|app.LZMA({CURSOR})|LZMA compress
app.UnLZMA|app.UnLZMA({CURSOR})|LZMA decompress
app.LZ4|app.LZ4({CURSOR})|LZ4 compress
app.UnLZ4|app.UnLZ4({CURSOR})|LZ4 decompress
app.Zstd|app.Zstd({CURSOR})|Zstd compress
app.UnZstd|app.UnZstd({CURSOR})|Zstd decompress
app.Brotli|app.Brotli({CURSOR})|Brotli compress
app.UnBrotli|app.UnBrotli({CURSOR})|Brotli decompress
app.Deflate|app.Deflate({CURSOR})|Deflate compress
app.Inflate|app.Inflate({CURSOR})|Inflate decompress
app.CreateHash|app.CreateHash({CURSOR})|Create a hash object
app.ZipFile|app.ZipFile({CURSOR})|Extract a zip file
bls.Clear|bls.Clear({CURSOR})|Clears the Bluetooth buffer
bls.Connect|bls.Connect({CURSOR})|Connect to a Bluetooth server
bls.Create|bls.Create({CURSOR})|Creates a server socket
bls.Disconnect|bls.Disconnect({CURSOR})|Disconnect from the server
bls.GetDevice|bls.GetDevice()|Get the connected device
bls.GetDevices|bls.GetDevices()|Get a list of paired devices
bls.GetName|bls.GetName()|Get the Bluetooth name
bls.GetState|bls.GetState()|Get the current state
bls.IsAvailable|bls.IsAvailable()|Check if Bluetooth is available
bls.IsEnabled|bls.IsEnabled()|Check if Bluetooth is enabled
bls.Read|bls.Read({CURSOR})|Read data from the buffer
bls.Remove|bls.Remove({CURSOR})|Remove the service
bls.Send|bls.Send({CURSOR})|Send data to the server
bls.SetOnConnected|bls.SetOnConnected({CURSOR})|Set a callback for connection
bls.SetOnData|bls.SetOnData({CURSOR})|Set a callback for incoming data
bls.SetOnDisconnected|bls.SetOnDisconnected({CURSOR})|Set a callback for disconnection
btl.GetDriver|btl.GetDriver()|Get BT driver
btl.Scan|btl.Scan({CURSOR})|Scan for Bluetooth devices
btl.SetOnScan|btl.SetOnScan({CURSOR})|Set callback for BT discovery
btn.SetOnClick|btn.SetOnClick({CURSOR})|Set a callback for button click
btn.SetText|btn.SetText({CURSOR})|Set the button text
btn.GetText|btn.GetText()|Get the button text
btn.SetTextColor|btn.SetTextColor({CURSOR})|Set the text color
btn.SetTextSize|btn.SetTextSize({CURSOR})|Set the text size
btn.SetBold|btn.SetBold({CURSOR})|Set text bold
btn.SetItalic|btn.SetItalic({CURSOR})|Set text italic
btn.SetFont|btn.SetFont({CURSOR})|Set the font
btn.SetEnabled|btn.SetEnabled({CURSOR})|Enable or disable the button
btn.SetBackground|btn.SetBackground({CURSOR})|Set the background color
btn.SetImage|btn.SetImage({CURSOR})|Set an image on the button
btn.SetPadding|btn.SetPadding({CURSOR})|Set padding
btn.SetMargins|btn.SetMargins({CURSOR})|Set margins
btn.SetPosition|btn.SetPosition({CURSOR})|Set the position
btn.SetSize|btn.SetSize({CURSOR})|Set the size
btn.SetVisible|btn.SetVisible({CURSOR})|Set visibility
btn.SetAlpha|btn.SetAlpha({CURSOR})|Set the transparency
btn.SetRotation|btn.SetRotation({CURSOR})|Set rotation
btn.SetScaleX|btn.SetScaleX({CURSOR})|Set horizontal scale
btn.SetScaleY|btn.SetScaleY({CURSOR})|Set vertical scale
btn.SetElevation|btn.SetElevation({CURSOR})|Set elevation/shadow
btn.SetRipple|btn.SetRipple({CURSOR})|Set ripple effect
btn.SetShape|btn.SetShape({CURSOR})|Set the button shape
btn.SetCornerRadius|btn.SetCornerRadius({CURSOR})|Set corner radius
btn.SetBorder|btn.SetBorder({CURSOR})|Set border
btn.SetBorderColor|btn.SetBorderColor({CURSOR})|Set border color
btn.SetBorderWidth|btn.SetBorderWidth({CURSOR})|Set border width
btn.SetStateList|btn.SetStateList({CURSOR})|Set state list drawable
btn.SetGravity|btn.SetGravity({CURSOR})|Set text gravity
btn.SetCompoundDrawable|btn.SetCompoundDrawable({CURSOR})|Set compound drawable
btn.SetAllCaps|btn.SetAllCaps({CURSOR})|Set all caps text
btn.SetTextAlignment|btn.SetTextAlignment({CURSOR})|Set text alignment
cam.AutoFocus|cam.AutoFocus({CURSOR})|Auto focus the camera
cam.Capture|cam.Capture({CURSOR})|Capture frame
cam.Create|cam.Create({CURSOR})|Creates a camera object
cam.Flash|cam.Flash({CURSOR})|Turn flash on/off
cam.Focus|cam.Focus({CURSOR})|Focus the camera
cam.Front|cam.Front({CURSOR})|Sets the front camera
cam.GetBrightness|cam.GetBrightness()|Get the brightness
cam.GetContrast|cam.GetContrast()|Get the contrast
cam.GetExposure|cam.GetExposure()|Get the exposure compensation
cam.GetFocusMode|cam.GetFocusMode()|Get the focus mode
cam.GetFrame|cam.GetFrame()|Get the current frame data
cam.GetHeight|cam.GetHeight()|Get the frame height
cam.GetISO|cam.GetISO()|Get the ISO
cam.GetMaxZoom|cam.GetMaxZoom()|Get the maximum zoom
cam.GetMinZoom|cam.GetMinZoom()|Get the minimum zoom
cam.GetPicture|cam.GetPicture()|Take a photo
cam.GetPreviewSize|cam.GetPreviewSize()|Get the preview size
cam.GetResolution|cam.GetResolution()|Get the resolution
cam.GetSceneMode|cam.GetSceneMode()|Get the scene mode
cam.GetWhiteBalance|cam.GetWhiteBalance()|Get the white balance
cam.GetWidth|cam.GetWidth()|Get the frame width
cam.GetZoom|cam.GetZoom()|Get the zoom level
cam.HasFlash|cam.HasFlash()|Check if camera has a flash
cam.IsAutoFocus|cam.IsAutoFocus()|Check if auto focus
cam.IsBack|cam.IsBack()|Check if back camera
cam.IsFlashOn|cam.IsFlashOn()|Check if flash is on
cam.IsFront|cam.IsFront()|Check if front camera
cam.IsOpen|cam.IsOpen()|Check if camera is open
cam.IsRecording|cam.IsRecording()|Check if recording
cam.LoadSettings|cam.LoadSettings({CURSOR})|Load camera settings
cam.Open|cam.Open({CURSOR})|Open the camera
cam.Pause|cam.Pause({CURSOR})|Pause the camera
cam.Record|cam.Record({CURSOR})|Record video
cam.Release|cam.Release({CURSOR})|Release the camera
cam.Resume|cam.Resume({CURSOR})|Resume the camera
cam.SaveSettings|cam.SaveSettings({CURSOR})|Save camera settings
cam.SetAutoFocus|cam.SetAutoFocus({CURSOR})|Set auto focus
cam.SetBrightness|cam.SetBrightness({CURSOR})|Set brightness
cam.SetContrast|cam.SetContrast({CURSOR})|Set contrast
cam.SetExposure|cam.SetExposure({CURSOR})|Set exposure
cam.SetFocusMode|cam.SetFocusMode({CURSOR})|Set focus mode
cam.SetISO|cam.SetISO({CURSOR})|Set ISO
cam.SetOnFrame|cam.SetOnFrame({CURSOR})|Set callback for camera frames
cam.SetOnPicture|cam.SetOnPicture({CURSOR})|Set callback for taken picture
cam.SetOnVideo|cam.SetOnVideo({CURSOR})|Set callback for video recording
cam.SetPreviewSize|cam.SetPreviewSize({CURSOR})|Set preview size
cam.SetResolution|cam.SetResolution({CURSOR})|Set the resolution
cam.SetSceneMode|cam.SetSceneMode({CURSOR})|Set scene mode
cam.SetWhiteBalance|cam.SetWhiteBalance({CURSOR})|Set white balance
cam.SetZoom|cam.SetZoom({CURSOR})|Set zoom level
cam.StartPreview|cam.StartPreview({CURSOR})|Start camera preview
cam.Stop|cam.Stop({CURSOR})|Stop the camera
cam.StopPreview|cam.StopPreview({CURSOR})|Stop the preview
cam.SwitchCamera|cam.SwitchCamera({CURSOR})|Switch between front and back
cam.TakePicture|cam.TakePicture({CURSOR})|Take a picture
cde.Close|cde.Close()|Close/dismiss the code scanner
cde.Create|cde.Create({CURSOR})|Create the code scanner
cde.Decode|cde.Decode({CURSOR})|Decode a barcode
cde.DecodeFile|cde.DecodeFile({CURSOR})|Decode barcode from file
cde.GetColor|cde.GetColor()|Get color of the scan box
cde.GetScanBox|cde.GetScanBox()|Get scan box dimensions
cde.GetScanInterval|cde.GetScanInterval()|Get scanning interval
cde.IsDecoding|cde.IsDecoding()|Check if currently decoding
cde.IsFlashOn|cde.IsFlashOn()|Check if flash is on
cde.IsOpen|cde.IsOpen()|Check if scanner is open
cde.Open|cde.Open({CURSOR})|Open the scanner
cde.Release|cde.Release({CURSOR})|Release/destroy the scanner
cde.Scan|cde.Scan({CURSOR})|Scan a barcode in real-time
cde.SetColor|cde.SetColor({CURSOR})|Set color of scan box
cde.SetDecodeCallback|cde.SetDecodeCallback({CURSOR})|Set callback for decode
cde.SetFlash|cde.SetFlash({CURSOR})|Turn flash on/off
cde.SetOnBarcode|cde.SetOnBarcode({CURSOR})|Set callback for barcode scanning
cde.SetOnResult|cde.SetOnResult({CURSOR})|Set callback for scan result
cde.SetOnScan|cde.SetOnScan({CURSOR})|Set callback for scan
cde.SetOrientation|cde.SetOrientation({CURSOR})|Set orientation of scanner
cde.SetScanBox|cde.SetScanBox({CURSOR})|Set scan box dimensions
cde.SetScanInterval|cde.SetScanInterval({CURSOR})|Set interval between scans
cde.SetTorch|cde.SetTorch({CURSOR})|Turn torch on/off
cde.Start|cde.Start({CURSOR})|Start the scanner
cde.Stop|cde.Stop({CURSOR})|Stop the scanner
cde.ToggleFlash|cde.ToggleFlash({CURSOR})|Toggle the flash
cde.Torch|cde.Torch({CURSOR})|Control the torch light
cde.GetBarcodeFormat|cde.GetBarcodeFormat()|Get the barcode format
cde.GetResult|cde.GetResult()|Get the scan result
cde.GetText|cde.GetText()|Get the decoded text
cde.GetTime|cde.GetTime()|Get the scan time
cde.GetType|cde.GetType()|Get the barcode type
cde.IsAvailable|cde.IsAvailable()|Check if scanner is available
cde.IsDecodeFile|cde.IsDecodeFile()|Check if decoding from file
cde.IsFlashAvailable|cde.IsFlashAvailable()|Check if flash is available
cde.IsTorchAvailable|cde.IsTorchAvailable()|Check if torch is available
cde.SetDecodeAllFormats|cde.SetDecodeAllFormats({CURSOR})|Set to decode all formats
cde.SetFormat|cde.SetFormat({CURSOR})|Set the barcode format
cde.SetFormats|cde.SetFormats({CURSOR})|Set multiple barcode formats
cde.SetHint|cde.SetHint({CURSOR})|Set scan hint text
cde.SetOnDecode|cde.SetOnDecode({CURSOR})|Set decode callback
cde.SetOnDecoded|cde.SetOnDecoded({CURSOR})|Set decoded callback
cde.SetOnError|cde.SetOnError({CURSOR})|Set error callback
cde.SetTimeout|cde.SetTimeout({CURSOR})|Set scan timeout
cde.Vibrate|cde.Vibrate({CURSOR})|Vibrate on scan
chk.GetText|chk.GetText()|Get the checkbox text
chk.IsChecked|chk.IsChecked()|Check if checkbox is checked
chk.SetChecked|chk.SetChecked({CURSOR})|Set checked state
chk.SetEnabled|chk.SetEnabled({CURSOR})|Enable/disable checkbox
chk.SetOnChange|chk.SetOnChange({CURSOR})|Set callback for state change
chk.SetText|chk.SetText({CURSOR})|Set the checkbox text
chk.SetTextColor|chk.SetTextColor({CURSOR})|Set the text color
chk.SetTextSize|chk.SetTextSize({CURSOR})|Set the text size
chk.SetBold|chk.SetBold({CURSOR})|Set text bold
chk.SetItalic|chk.SetItalic({CURSOR})|Set text italic
chk.SetFont|chk.SetFont({CURSOR})|Set the font
chk.SetBackground|chk.SetBackground({CURSOR})|Set background color
chk.SetPadding|chk.SetPadding({CURSOR})|Set padding
chk.SetMargins|chk.SetMargins({CURSOR})|Set margins
chk.SetPosition|chk.SetPosition({CURSOR})|Set position
chk.SetSize|chk.SetSize({CURSOR})|Set size
chk.SetVisible|chk.SetVisible({CURSOR})|Set visibility
chk.SetAlpha|chk.SetAlpha({CURSOR})|Set transparency
chk.SetRotation|chk.SetRotation({CURSOR})|Set rotation
chk.SetScaleX|chk.SetScaleX({CURSOR})|Set horizontal scale
chk.SetScaleY|chk.SetScaleY({CURSOR})|Set vertical scale
chk.SetElevation|chk.SetElevation({CURSOR})|Set elevation
chk.SetRipple|chk.SetRipple({CURSOR})|Set ripple effect
chk.SetShape|chk.SetShape({CURSOR})|Set shape
chk.SetCornerRadius|chk.SetCornerRadius({CURSOR})|Set corner radius
chk.SetBorder|chk.SetBorder({CURSOR})|Set border
chk.SetBorderColor|chk.SetBorderColor({CURSOR})|Set border color
chk.SetBorderWidth|chk.SetBorderWidth({CURSOR})|Set border width
chk.SetGravity|chk.SetGravity({CURSOR})|Set text gravity
chk.SetCompoundDrawable|chk.SetCompoundDrawable({CURSOR})|Set compound drawable
chk.SetAllCaps|chk.SetAllCaps({CURSOR})|Set all caps
chk.SetTextAlignment|chk.SetTextAlignment({CURSOR})|Set text alignment
chk.SetButtonDrawable|chk.SetButtonDrawable({CURSOR})|Set the button drawable
chk.SetOnCheckedChange|chk.SetOnCheckedChange({CURSOR})|Set checked change callback
chk.GetTextColor|chk.GetTextColor()|Get the text color
chk.GetTextSize|chk.GetTextSize()|Get the text size
crp.Capture|crp.Capture({CURSOR})|Capture a screenshot
crp.Create|crp.Create({CURSOR})|Creates a crop object
crp.Save|crp.Save({CURSOR})|Save the crop as a file
crp.SetAspect|crp.SetAspect({CURSOR})|Set the aspect ratio of the crop area
db.Close|db.Close()|Close the database
db.Delete|db.Delete({CURSOR})|Delete records from the database
db.Execute|db.Execute({CURSOR})|Execute SQL query
db.GetAffectedRows|db.GetAffectedRows()|Get number of affected rows
db.GetColumnCount|db.GetColumnCount()|Get number of columns
db.GetColumnName|db.GetColumnName()|Get column name at index
db.GetData|db.GetData()|Get all records from query
db.GetInsertId|db.GetInsertId()|Get the last insert ID
db.GetLength|db.GetLength()|Get number of rows in cursor
db.GetRow|db.GetRow()|Get a specific row
db.Insert|db.Insert({CURSOR})|Insert data into the database
db.Open|db.Open({CURSOR})|Open the database
db.Select|db.Select({CURSOR})|Select records from the database
db.Update|db.Update({CURSOR})|Update records in the database
dlg.AddButton|dlg.AddButton({CURSOR})|Add a button to the dialog
dlg.Close|dlg.Close()|Close the dialog
dlg.Create|dlg.Create({CURSOR})|Creates a dialog
dlg.Dismiss|dlg.Dismiss()|Dismiss the dialog
dlg.GetButton|dlg.GetButton()|Get the button
dlg.GetHeight|dlg.GetHeight()|Get the dialog height
dlg.GetWidth|dlg.GetWidth()|Get the dialog width
dlg.Hide|dlg.Hide()|Hide the dialog
dlg.RemoveButton|dlg.RemoveButton({CURSOR})|Remove a button
dlg.SetBackground|dlg.SetBackground({CURSOR})|Set the background
dlg.SetButton|dlg.SetButton({CURSOR})|Set a button
dlg.SetCancelable|dlg.SetCancelable({CURSOR})|Set if dialog is cancelable
dlg.SetHeight|dlg.SetHeight({CURSOR})|Set the dialog height
dlg.SetIcon|dlg.SetIcon({CURSOR})|Set the icon
dlg.SetInput|dlg.SetInput({CURSOR})|Set input mode
dlg.SetItem|dlg.SetItem({CURSOR})|Set an item in the dialog
dlg.SetItems|dlg.SetItems({CURSOR})|Set items in the dialog
dlg.SetLayout|dlg.SetLayout({CURSOR})|Set the layout
dlg.SetList|dlg.SetList({CURSOR})|Set a list
dlg.SetMessage|dlg.SetMessage({CURSOR})|Set the message
dlg.SetMultiChoice|dlg.SetMultiChoice({CURSOR})|Set multiple choice items
dlg.SetOnCancel|dlg.SetOnCancel({CURSOR})|Set cancel callback
dlg.SetOnDismiss|dlg.SetOnDismiss({CURSOR})|Set dismiss callback
dlg.SetOnKey|dlg.SetOnKey({CURSOR})|Set key callback
dlg.SetOnShow|dlg.SetOnShow({CURSOR})|Set show callback
dlg.SetPositive|dlg.SetPositive({CURSOR})|Set positive button
dlg.SetNegative|dlg.SetNegative({CURSOR})|Set negative button
dlg.SetNeutral|dlg.SetNeutral({CURSOR})|Set neutral button
dlg.SetProgress|dlg.SetProgress({CURSOR})|Set progress
dlg.SetSingleChoice|dlg.SetSingleChoice({CURSOR})|Set single choice items
dlg.SetText|dlg.SetText({CURSOR})|Set the text
dlg.SetTitle|dlg.SetTitle({CURSOR})|Set the title
dlg.SetWidth|dlg.SetWidth({CURSOR})|Set the width
dlg.Show|dlg.Show()|Show the dialog
dwn.Abort|dwn.Abort({CURSOR})|Abort the download
dwn.Create|dwn.Create({CURSOR})|Create a download object
dwn.GetFileName|dwn.GetFileName()|Get the file name
dwn.GetFileSize|dwn.GetFileSize()|Get the file size
dwn.GetProgress|dwn.GetProgress()|Get download progress
dwn.GetStatus|dwn.GetStatus()|Get download status
dwn.GetUrl|dwn.GetUrl()|Get the download URL
dwn.Pause|dwn.Pause({CURSOR})|Pause the download
dwn.Resume|dwn.Resume({CURSOR})|Resume the download
dwn.SetOnFinish|dwn.SetOnFinish({CURSOR})|Set download finish callback
dwn.SetOnProgress|dwn.SetOnProgress({CURSOR})|Set download progress callback
edt.Append|edt.Append({CURSOR})|Append text to the edit
edt.Clear|edt.Clear({CURSOR})|Clear the edit text
edt.Copy|edt.Copy({CURSOR})|Copy text to clipboard
edt.Cut|edt.Cut({CURSOR})|Cut text to clipboard
edt.Enable|edt.Enable({CURSOR})|Enable/disable the edit
edt.Focus|edt.Focus({CURSOR})|Focus the edit
edt.GetText|edt.GetText()|Get the text
edt.GetTextLength|edt.GetTextLength()|Get text length
edt.HasSelection|edt.HasSelection()|Check if text is selected
edt.HideKeyboard|edt.HideKeyboard({CURSOR})|Hide the keyboard
edt.Insert|edt.Insert({CURSOR})|Insert text at cursor
edt.IsEmpty|edt.IsEmpty()|Check if empty
edt.IsFocused|edt.IsFocused()|Check if focused
edt.Paste|edt.Paste({CURSOR})|Paste text from clipboard
edt.Redo|edt.Redo({CURSOR})|Redo the last action
edt.SelectAll|edt.SelectAll({CURSOR})|Select all text
edt.SetAutoCorrect|edt.SetAutoCorrect({CURSOR})|Set auto-correct
edt.SetBackground|edt.SetBackground({CURSOR})|Set background color
edt.SetBold|edt.SetBold({CURSOR})|Set text bold
edt.SetCursorColor|edt.SetCursorColor({CURSOR})|Set cursor color
edt.SetCursorVisible|edt.SetCursorVisible({CURSOR})|Set cursor visibility
edt.SetEnabled|edt.SetEnabled({CURSOR})|Set enabled
edt.SetFont|edt.SetFont({CURSOR})|Set the font
edt.SetHint|edt.SetHint({CURSOR})|Set hint text
edt.SetHintColor|edt.SetHintColor({CURSOR})|Set hint text color
edt.SetIME|edt.SetIME({CURSOR})|Set IME action
edt.SetInputType|edt.SetInputType({CURSOR})|Set input type
edt.SetItalic|edt.SetItalic({CURSOR})|Set italic
edt.SetMargins|edt.SetMargins({CURSOR})|Set margins
edt.SetMaxLength|edt.SetMaxLength({CURSOR})|Set max input length
edt.SetMinLines|edt.SetMinLines({CURSOR})|Set minimum lines
edt.SetMultiline|edt.SetMultiline({CURSOR})|Set multiline mode
edt.SetOnFocus|edt.SetOnFocus({CURSOR})|Set focus callback
edt.SetOnInput|edt.SetOnInput({CURSOR})|Set input callback
edt.SetOnKey|edt.SetOnKey({CURSOR})|Set key callback
edt.SetOnReturn|edt.SetOnReturn({CURSOR})|Set return key callback
edt.SetPadding|edt.SetPadding({CURSOR})|Set padding
edt.SetPassword|edt.SetPassword({CURSOR})|Set password mode
edt.SetPosition|edt.SetPosition({CURSOR})|Set position
edt.SetReadOnly|edt.SetReadOnly({CURSOR})|Set read only
edt.SetSelection|edt.SetSelection({CURSOR})|Set selection range
edt.SetSize|edt.SetSize({CURSOR})|Set size
edt.SetText|edt.SetText({CURSOR})|Set text
edt.SetTextAlignment|edt.SetTextAlignment({CURSOR})|Set text alignment
edt.SetTextColor|edt.SetTextColor({CURSOR})|Set text color
edt.SetTextSize|edt.SetTextSize({CURSOR})|Set text size
edt.SetTypeface|edt.SetTypeface({CURSOR})|Set typeface
edt.SetVisible|edt.SetVisible({CURSOR})|Set visibility
edt.ShowKeyboard|edt.ShowKeyboard({CURSOR})|Show the keyboard
edt.Undo|edt.Undo({CURSOR})|Undo the last action
eml.IsSupported|eml.IsSupported()|Check if email is supported
eml.Send|eml.Send({CURSOR})|Send an email
eml.SetCallback|eml.SetCallback({CURSOR})|Set callback for email
eml.SetOnResult|eml.SetOnResult({CURSOR})|Set result callback
eml.SetOnSend|eml.SetOnSend({CURSOR})|Set send callback
eml.SetTo|eml.SetTo({CURSOR})|Set recipient
eml.SetSubject|eml.SetSubject({CURSOR})|Set subject
fil.Copy|fil.Copy({CURSOR})|Copy the file
fil.Create|fil.Create({CURSOR})|Create a file
fil.CreateDir|fil.CreateDir({CURSOR})|Create a directory
fil.Delete|fil.Delete({CURSOR})|Delete the file
fil.Exists|fil.Exists({CURSOR})|Check if file exists
fil.GetDir|fil.GetDir()|Get the directory
fil.GetName|fil.GetName()|Get the file name
fil.GetPath|fil.GetPath()|Get the file path
fil.GetSize|fil.GetSize()|Get the file size
fil.Move|fil.Move({CURSOR})|Move the file
gam.OnSensorChanged|gam.OnSensorChanged({CURSOR})|Fires when game sensor changes
gam.SetRate|gam.SetRate({CURSOR})|Sets the sensor listener update rate
glv.AttachShader|glv.AttachShader({CURSOR})|Attach a shader
glv.Bind|glv.Bind({CURSOR})|Bind to the GL view
glv.BindFrameBuffer|glv.BindFrameBuffer({CURSOR})|Bind a framebuffer
glv.BindRenderBuffer|glv.BindRenderBuffer({CURSOR})|Bind a renderbuffer
glv.BindTexture|glv.BindTexture({CURSOR})|Bind a texture
glv.Clear|glv.Clear({CURSOR})|Clear the GL surface
glv.ClearColor|glv.ClearColor({CURSOR})|Set clear color
glv.CompileShader|glv.CompileShader({CURSOR})|Compile a shader
glv.Create|glv.Create({CURSOR})|Creates a GL view object
glv.CreateProgram|glv.CreateProgram({CURSOR})|Create a shader program
glv.CreateShader|glv.CreateShader({CURSOR})|Create a shader
glv.DrawArrays|glv.DrawArrays({CURSOR})|Draw arrays
glv.DrawElements|glv.DrawElements({CURSOR})|Draw elements
glv.Enable|glv.Enable({CURSOR})|Enable GL state
glv.Frustrum|glv.Frustrum({CURSOR})|Set frustrum
glv.GetContext|glv.GetContext()|Get the GL context
glv.GetVersion|glv.GetVersion()|Get the GL version
glv.LoadIdentity|glv.LoadIdentity({CURSOR})|Load identity matrix
glv.LookAt|glv.LookAt({CURSOR})|Set the view matrix
glv.Ortho|glv.Ortho({CURSOR})|Set orthographic projection
glv.Orthof|glv.Orthof({CURSOR})|Set orthographic projection float
glv.PopMatrix|glv.PopMatrix({CURSOR})|Pop matrix
glv.PushMatrix|glv.PushMatrix({CURSOR})|Push matrix
glv.Rotate|glv.Rotate({CURSOR})|Rotate the matrix
glv.Scale|glv.Scale({CURSOR})|Scale the matrix
glv.SetOnAnimate|glv.SetOnAnimate({CURSOR})|Set animation callback
glv.SetOnDraw|glv.SetOnDraw({CURSOR})|Set draw callback
glv.SetOnTouch|glv.SetOnTouch({CURSOR})|Set touch callback
glv.ShaderSource|glv.ShaderSource({CURSOR})|Set shader source
glv.SwapBuffers|glv.SwapBuffers({CURSOR})|Swap buffers
glv.Translate|glv.Translate({CURSOR})|Translate the matrix
glv.Uniform1i|glv.Uniform1i({CURSOR})|Set a uniform int
glv.Uniform1f|glv.Uniform1f({CURSOR})|Set a uniform float
glv.Uniform2f|glv.Uniform2f({CURSOR})|Set a vec2 uniform
glv.Uniform3f|glv.Uniform3f({CURSOR})|Set a vec3 uniform
glv.Uniform4f|glv.Uniform4f({CURSOR})|Set a vec4 uniform
glv.UseProgram|glv.UseProgram({CURSOR})|Use the shader program
glv.VertexAttrib|glv.VertexAttrib({CURSOR})|Set vertex attribute pointer
gmv.AddBody|gmv.AddBody({CURSOR})|Add a physics body
gmv.AddChild|gmv.AddChild({CURSOR})|Add a child game object
gmv.AddJoint|gmv.AddJoint({CURSOR})|Add a physics joint
gmv.Create|gmv.Create({CURSOR})|Creates a game view
gmv.GetBody|gmv.GetBody()|Get a physics body
gmv.GetChildren|gmv.GetChildren()|Get all children
gmv.GetFPS|gmv.GetFPS()|Get the current FPS
gmv.GetJoint|gmv.GetJoint()|Get a physics joint
gmv.GetName|gmv.GetName()|Get the object name
gmv.GetPosition|gmv.GetPosition()|Get the position
gmv.GetRotation|gmv.GetRotation()|Get the rotation
gmv.GetScale|gmv.GetScale()|Get the scale
gmv.GetVelocity|gmv.GetVelocity()|Get the velocity
gmv.IsVisible|gmv.IsVisible()|Check if visible
gmv.LoadScene|gmv.LoadScene({CURSOR})|Load a scene
gmv.RemoveBody|gmv.RemoveBody({CURSOR})|Remove a physics body
gmv.RemoveChild|gmv.RemoveChild({CURSOR})|Remove a child
gmv.RemoveJoint|gmv.RemoveJoint({CURSOR})|Remove a physics joint
gmv.Render|gmv.Render({CURSOR})|Render the game view
gmv.SetBody|gmv.SetBody({CURSOR})|Set a physics body
gmv.SetCollisionCallback|gmv.SetCollisionCallback({CURSOR})|Set collision callback
gmv.SetGravity|gmv.SetGravity({CURSOR})|Set gravity
gmv.SetName|gmv.SetName({CURSOR})|Set the object name
